tpa = 290;tpv=500;;;;;;;;;
;;;;;;;;;;
dP = -17;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (80);isTp;isSl;gain heure (19h);isTp;gain heure SL (18h) (80);isTp;isSl
20/11/06;7,80437;0;7,80437;0;0;-58,532778;0;7,80437;0;0
21/11/06;-19,50078;0;-19,50078;0;0;-39,00156;0;-19,50078;0;0
22/11/06;-93,083387;0;-93,083387;0;0;-96,961862;0;-93,083387;0;0
23/11/06;-19,379845;0;-19,379845;0;0;-38,75969;0;-19,379845;0;0
24/11/06;-123,823036;0;-123,823036;0;0;-143,170386;0;-123,823036;0;0
25/11/06;0;0;0;0;0;0;0;0;0;0
26/11/06;0;0;0;0;0;0;0;0;0;0
27/11/06;15,404365;0;15,404365;0;0;3,851091;0;15,404365;0;0
28/11/06;-154,102992;0;-154,102992;0;0;-165,660717;0;-154,102992;0;0
29/11/06;-30,647427;0;-30,647427;0;0;-34,478355;0;-30,647427;0;0
30/11/06;-156,528379;0;-156,528379;0;0;-125,986256;0;-156,528379;0;0
31/11/2006;0;0;0;0;0;0;0;0;0;0
01/12/06;-30,349014;0;-30,349014;0;0;-3,793627;0;-30,349014;0;0
02/12/06;0;0;0;0;0;0;0;0;0;0
03/12/06;0;0;0;0;0;0;0;0;0;0
04/12/06;91,925873;1;91,925873;1;0;91,309484;1;91,925873;1;0
05/12/06;60,905976;0;60,905976;0;0;68,519223;0;60,905976;0;0
06/12/06;-53,414727;0;-53,414727;0;0;-68,676078;0;-53,414727;0;0
07/12/06;-49,392097;0;-49,392097;0;0;-41,793313;0;-49,392097;0;0
08/12/06;121,61135;0;121,61135;0;0;125,411705;0;121,61135;0;0
09/12/06;0;0;0;0;0;0;0;0;0;0
10/12/06;0;0;0;0;0;0;0;0;0;0
11/12/06;0;0;0;0;0;57,368689;0;0;0;0
12/12/06;83,89475;0;83,89475;0;0;91,521546;0;83,89475;0;0
13/12/06;57,06315;0;57,06315;0;0;117,93051;0;57,06315;0;0
14/12/06;142,216568;1;142,216568;1;0;163,203746;1;142,216568;1;0
15/12/06;0;0;0;0;0;-42,156362;0;0;0;0
16/12/06;0;0;0;0;0;0;0;0;0;0
17/12/06;0;0;0;0;0;0;0;0;0;0
18/12/06;92,001022;0;92,001022;0;0;111,167902;0;92,001022;0;0
19/12/06;-99,769762;0;-99,769762;0;0;-118,956255;0;-99,769762;0;0
20/12/06;-91,895341;0;-91,895341;0;0;-95,724314;0;-91,895341;0;0
21/12/06;41,958042;0;41,958042;0;0;76,287349;0;41,958042;0;0
22/12/06;148,70361;0;148,70361;0;0;141,077783;0;148,70361;0;0
23/12/06;0;0;0;0;0;0;0;0;0;0
24/12/06;0;0;0;0;0;0;0;0;0;0
25/12/06;0;0;0;0;0;0;0;0;0;0
26/12/06;129,73798;0;129,73798;0;0;148,817095;0;129,73798;0;0
27/12/06;53,448715;0;53,448715;0;0;61,084245;0;53,448715;0;0
28/12/06;-76,277651;0;-76,277651;0;0;-99,160946;0;-76,277651;0;0
29/12/06;193,41391;1;193,41391;1;0;199,35633;1;193,41391;1;0
30/12/06;0;0;0;0;0;0;0;0;0;0
31/12/06;0;0;0;0;0;0;0;0;0;0
01/01/07;0;0;0;0;0;0;0;0;0;0
02/01/07;-79,335096;0;-79,335096;0;0;-90,668682;0;-79,335096;0;0
03/01/07;188,481119;1;188,481119;1;0;192,838459;1;188,481119;1;0
04/01/07;-87,530128;0;-87,530128;0;0;-68,501839;0;-87,530128;0;0
05/01/07;-149,234694;0;-149,234694;0;0;-141,581633;0;-149,234694;0;0
06/01/07;0;0;0;0;0;0;0;0;0;0
07/01/07;0;0;0;0;0;0;0;0;0;0
08/01/07;141,143616;1;141,143616;1;0;142,447936;1;141,143616;1;0
