tpa = 144;tpv=254;;;;;;;;;
;;;;;;;;;;
dP = 115;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (210);isTp;isSl;gain heure (22h);isTp;gain heure SL (22h)(220);isTp;isSl
22/08/06;-70,356473;0;-70,356473;0;0;-79,737336;0;-79,737336;0;0
23/08/06;60,09778;1;60,09778;1;0;66,073467;1;66,073467;1;0
24/08/06;50,308207;1;50,308207;1;0;56,662605;1;56,662605;1;0
25/08/06;52,93545;1;52,93545;1;0;55,16328;1;55,16328;1;0
26/08/06;0;0;0;0;0;0;0;0;0;0
27/08/06;0;0;0;0;0;0;0;0;0;0
28/08/06;51,131081;1;51,131081;1;0;53,218892;1;53,218892;1;0
29/08/06;47,435503;1;47,435503;1;0;49,938528;1;49,938528;1;0
30/08/06;53,343731;1;53,343731;1;0;56,34049;1;56,34049;1;0
31/08/06;59,67884;1;59,67884;1;0;63,112602;1;63,112602;1;0
01/09/06;59,492794;1;59,492794;1;0;67,9648;1;67,9648;1;0
02/09/06;0;0;0;0;0;0;0;0;0;0
03/09/06;0;0;0;0;0;0;0;0;0;0
04/09/06;-96,021948;0;-96,021948;0;0;-160,03658;0;-160,03658;0;0
05/09/06;68,607806;1;68,607806;1;0;76,964051;1;76,964051;1;0
06/09/06;61,969174;1;61,969174;1;0;70,926034;1;70,926034;1;0
07/09/06;9,259259;0;9,259259;0;0;62,533081;1;62,533081;1;0
08/09/06;59,020225;1;59,020225;1;0;63,569535;1;63,569535;1;0
09/09/06;0;0;0;0;0;0;0;0;0;0
10/09/06;0;0;0;0;0;0;0;0;0;0
11/09/06;67,664775;1;67,664775;1;0;73,998768;1;73,998768;1;0
12/09/06;70,883919;1;70,883919;1;0;74,893038;1;74,893038;1;0
13/09/06;70,920399;1;70,920399;1;0;73,485776;1;73,485776;1;0
14/09/06;-210,173622;0;-210,173622;0;0;-214,742613;0;-214,742613;0;0
15/09/06;84,682041;1;84,682041;1;0;82,520271;1;82,520271;1;0
16/09/06;0;0;0;0;0;0;0;0;0;0
17/09/06;0;0;0;0;0;0;0;0;0;0
18/09/06;91,061345;1;91,061345;1;0;87,490316;1;87,490316;1;0
19/09/06;80,071736;1;80,071736;1;0;78,078978;1;78,078978;1;0
20/09/06;84,285936;1;84,285936;1;0;89,676124;1;89,676124;1;0
21/09/06;86,160426;1;86,160426;1;0;99,920042;1;99,920042;1;0
22/09/06;-9,092287;0;-9,092287;0;0;98,331734;1;98,331734;1;0
23/09/06;0;0;0;0;0;0;0;0;0;0
24/09/06;0;0;0;0;0;0;0;0;0;0
25/09/06;-44,937088;0;-44,937088;0;0;95,688844;1;95,688844;1;0
26/09/06;77,647004;1;77,647004;1;0;96,493233;1;96,493233;1;0
27/09/06;-72,826582;0;-72,826582;0;0;-113,791534;0;-113,791534;0;0
28/09/06;-72,970508;0;-72,970508;0;0;-18,242627;0;-18,242627;0;0
29/09/06;66,382947;1;66,382947;1;0;81,666555;1;81,666555;1;0
30/09/06;0;0;0;0;0;0;0;0;0;0
31/9/2006;0;0;0;0;0;0;0;0;0;0
01/10/06;0;0;0;0;0;0;0;0;0;0
02/10/06;60,363352;1;60,363352;1;0;67,549148;1;67,549148;1;0
03/10/06;63,840385;1;63,840385;1;0;74,417734;1;74,417734;1;0
04/10/06;53,361246;1;53,361246;1;0;61,337745;1;61,337745;1;0
05/10/06;51,394534;1;51,394534;1;0;58,929511;1;58,929511;1;0
06/10/06;53,703609;1;53,703609;1;0;60,357367;1;60,357367;1;0
07/10/06;0;0;0;0;0;0;0;0;0;0
08/10/06;0;0;0;0;0;0;0;0;0;0
09/10/06;63,436382;1;63,436382;1;0;70,022477;1;70,022477;1;0
10/10/06;-45,378914;0;-45,378914;0;0;-81,682045;0;-81,682045;0;0
11/10/06;61,536215;1;61,536215;1;0;62,718454;1;62,718454;1;0
12/10/06;63,965861;1;63,965861;1;0;62,64791;1;62,64791;1;0
13/10/06;-122,671513;0;-122,671513;0;0;-131,758292;0;-131,758292;0;0
14/10/06;0;0;0;0;0;0;0;0;0;0
15/10/06;0;0;0;0;0;0;0;0;0;0
16/10/06;65,084379;1;65,084379;1;0;63,530953;1;63,530953;1;0
17/10/06;68,832976;1;68,832976;1;0;65,599846;1;65,599846;1;0
18/10/06;0;0;0;0;0;-9,038867;0;-9,038867;0;0
19/10/06;59,342512;1;59,342512;1;0;57,215979;1;57,215979;1;0
20/10/06;-31,413613;0;-31,413613;0;0;8,975318;0;8,975318;0;0
21/10/06;0;0;0;0;0;0;0;0;0;0
22/10/06;0;0;0;0;0;0;0;0;0;0
23/10/06;-269,018084;0;-269,018084;0;0;-224,181737;0;-224,181737;0;0
24/10/06;53,386774;1;53,386774;1;0;55,831207;1;55,831207;1;0
25/10/06;42,145423;1;42,145423;1;0;43,939946;1;43,939946;1;0
26/10/06;41,612125;1;41,612125;1;0;44,79358;1;44,79358;1;0
27/10/06;42,464646;1;42,464646;1;0;45,360347;1;45,360347;1;0
28/10/06;0;0;0;0;0;0;0;0;0;0
29/10/06;0;0;0;0;0;0;0;0;0;0
30/10/06;48,627551;1;48,627551;1;0;54,3503;1;54,3503;1;0
31/10/06;50,341937;1;50,341937;1;0;58,078694;1;58,078694;1;0
01/11/06;61,712403;1;61,712403;1;0;70,404922;1;70,404922;1;0
02/11/06;69,978688;1;69,978688;1;0;76,458976;1;76,458976;1;0
03/11/06;65,207567;1;65,207567;1;0;70,683361;1;70,683361;1;0
04/11/06;0;0;0;0;0;0;0;0;0;0
05/11/06;0;0;0;0;0;0;0;0;0;0
06/11/06;72,583959;1;72,583959;1;0;171,145474;0;171,145474;0;0
07/11/06;65,110521;1;65,110521;1;0;-22,368029;0;-22,368029;0;0
08/11/06;-93,987767;0;-93,987767;0;0;-44,756079;0;-44,756079;0;0
09/11/06;9,022556;0;9,022556;0;0;22,556391;0;22,556391;0;0
10/11/06;60,340529;1;60,340529;1;0;49,586777;0;49,586777;0;0
11/11/06;0;0;0;0;0;0;0;0;0;0
12/11/06;0;0;0;0;0;0;0;0;0;0
13/11/06;-270,432692;0;-270,432692;0;0;-247,896635;0;-247,896635;0;0
14/11/06;-72,551391;0;-72,551391;0;0;-31,741233;0;-31,741233;0;0
15/11/06;-72,628234;0;-72,628234;0;0;-49,931911;0;-49,931911;0;0
16/11/06;48,736695;1;48,736695;1;0;47,883213;1;47,883213;1;0
17/11/06;-54,151625;0;-54,151625;0;0;49,429157;1;49,429157;1;0
18/11/06;0;0;0;0;0;0;0;0;0;0
19/11/06;0;0;0;0;0;0;0;0;0;0
20/11/06;56,434284;1;56,434284;1;0;55,662241;1;55,662241;1;0
21/11/06;54,607701;1;54,607701;1;0;57,440126;1;57,440126;1;0
22/11/06;51,340383;1;51,340383;1;0;54,688688;1;54,688688;1;0
23/11/06;-40,22646;0;-40,22646;0;0;-44,696067;0;-44,696067;0;0
24/11/06;46,723301;1;46,723301;1;0;53,433483;1;53,433483;1;0
25/11/06;0;0;0;0;0;0;0;0;0;0
26/11/06;0;0;0;0;0;0;0;0;0;0
27/11/06;-129,310345;0;-129,310345;0;0;-151,605232;0;-151,605232;0;0
28/11/06;49,945569;1;49,945569;1;0;50,878167;1;50,878167;1;0
29/11/06;56,225071;1;56,225071;1;0;62,435874;1;62,435874;1;0
30/11/06;47,979612;1;47,979612;1;0;49,23856;1;49,23856;1;0
31/11/2006;0;0;0;0;0;0;0;0;0;0
01/12/06;57,197924;1;57,197924;1;0;58,005816;1;58,005816;1;0
02/12/06;0;0;0;0;0;0;0;0;0;0
03/12/06;0;0;0;0;0;0;0;0;0;0
04/12/06;55,324902;1;55,324902;1;0;60,996823;1;60,996823;1;0
05/12/06;-61,055386;0;-61,055386;0;0;-61,055386;0;-61,055386;0;0
06/12/06;56,89049;1;56,89049;1;0;64,872261;1;64,872261;1;0
07/12/06;58,411083;1;58,411083;1;0;70,447852;1;70,447852;1;0
08/12/06;53,382613;1;53,382613;1;0;65,762695;1;65,762695;1;0
09/12/06;0;0;0;0;0;0;0;0;0;0
10/12/06;0;0;0;0;0;0;0;0;0;0
11/12/06;26,170398;0;26,170398;0;0;68,98147;1;68,98147;1;0
12/12/06;48,131921;1;48,131921;1;0;57,289744;1;57,289744;1;0
13/12/06;-47,708544;0;-47,708544;0;0;-60,719965;0;-60,719965;0;0
14/12/06;-159,873254;0;-159,873254;0;0;-224,686735;0;-224,686735;0;0
15/12/06;53,126303;1;53,126303;1;0;58,960006;1;58,960006;1;0
16/12/06;0;0;0;0;0;0;0;0;0;0
17/12/06;0;0;0;0;0;0;0;0;0;0
18/12/06;-39,079462;0;-39,079462;0;0;-8,684325;0;-8,684325;0;0
19/12/06;53,59931;1;53,59931;1;0;55,70549;1;55,70549;1;0
20/12/06;51,031657;1;51,031657;1;0;54,287383;1;54,287383;1;0
21/12/06;48,5567;1;48,5567;1;0;54,971732;1;54,971732;1;0
22/12/06;44,658315;1;44,658315;1;0;49,657909;1;49,657909;1;0
23/12/06;0;0;0;0;0;0;0;0;0;0
24/12/06;0;0;0;0;0;0;0;0;0;0
25/12/06;0;0;0;0;0;0;0;0;0;0
26/12/06;-72,6082;0;-72,6082;0;0;-64,066059;0;-64,066059;0;0
27/12/06;43,970546;1;43,970546;1;0;47,710406;1;47,710406;1;0
28/12/06;41,732699;1;41,732699;1;0;42,84284;1;42,84284;1;0
29/12/06;-84,913671;0;-84,913671;0;0;-72,17662;0;-72,17662;0;0
30/12/06;0;0;0;0;0;0;0;0;0;0
31/12/06;0;0;0;0;0;0;0;0;0;0
01/01/07;0;0;0;0;0;0;0;0;0;0
02/01/07;46,067463;1;46,067463;1;0;45,873657;1;45,873657;1;0
03/01/07;-110,185054;0;-110,185054;0;0;-55,092527;0;-55,092527;0;0
04/01/07;-247,194204;0;-247,194204;0;0;-259,980111;0;-259,980111;0;0
05/01/07;-328,104763;0;-328,104763;0;0;-306,518924;0;-306,518924;0;0
06/01/07;0;0;0;0;0;0;0;0;0;0
07/01/07;0;0;0;0;0;0;0;0;0;0
08/01/07;68,420189;1;68,420189;1;0;68,081376;1;68,081376;1;0
09/01/07;-168,636495;0;-168,636495;0;0;-64,86019;0;-64,86019;0;0
10/01/07;-147,654893;0;-147,654893;0;0;-178,05443;0;-178,05443;0;0
