tpa = 404;tpv=470;;;;;;;;;
;;;;;;;;;;
dP = -23;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl(40);isTp;isSl;gain heure (18h);isTp;gain heure SL (18h)(40);isTp;isSl
06/10/11;-236,193123;0;-120;0;1;-236,193123;0;-120;0;1
07/10/11;148,549056;0;148,549056;0;0;148,549056;0;148,549056;0;0
08/10/11;0;0;0;0;0;0;0;0;0;0
09/10/11;0;0;0;0;0;0;0;0;0;0
10/10/11;159,489088;1;159,489088;1;0;159,489088;1;159,489088;1;0
11/10/11;-120,357634;0;-120;0;1;-120,357634;0;-120;0;1
12/10/11;6,850879;0;6,850879;0;0;6,850879;0;6,850879;0;0
13/10/11;106,188628;0;106,188628;0;0;106,188628;0;106,188628;0;0
14/10/11;-103,033772;0;-120;0;1;-103,033772;0;-120;0;1
15/10/11;0;0;0;0;0;0;0;0;0;0
16/10/11;0;0;0;0;0;0;0;0;0;0
17/10/11;157,372562;0;157,372562;0;0;157,372562;0;157,372562;0;0
18/10/11;204,831034;1;204,831034;1;0;204,831034;1;204,831034;1;0
19/10/11;140,443024;0;140,443024;0;0;140,443024;0;140,443024;0;0
20/10/11;-86,028906;0;-86,028906;0;0;-86,028906;0;-86,028906;0;0
21/10/11;61,947918;0;61,947918;0;0;61,947918;0;61,947918;0;0
22/10/11;0;0;0;0;0;0;0;0;0;0
23/10/11;0;0;0;0;0;0;0;0;0;0
24/10/11;-20,675396;0;-20,675396;0;0;-20,675396;0;-20,675396;0;0
25/10/11;-13,805798;0;-13,805798;0;0;-13,805798;0;-13,805798;0;0
26/10/11;-41,450777;0;-120;0;1;-41,450777;0;-120;0;1
27/10/11;-215,95064;0;-120;0;1;-215,95064;0;-120;0;1
28/10/11;119,101633;0;119,101633;0;0;119,101633;0;119,101633;0;0
29/10/11;0;0;0;0;0;0;0;0;0;0
30/10/11;0;0;0;0;0;0;0;0;0;0
31/10/11;-404,478976;0;-120;0;1;-404,478976;0;-120;0;1
01/11/11;-41,914076;0;-120;0;1;-41,914076;0;-120;0;1
02/11/11;-34,87561;0;-120;0;1;-34,87561;0;-120;0;1
03/11/11;-59,329921;0;-120;0;1;-59,329921;0;-120;0;1
04/11/11;139,211137;0;-120;0;1;139,211137;0;-120;0;1
05/11/11;0;0;0;0;0;0;0;0;0;0
06/11/11;0;0;0;0;0;0;0;0;0;0
07/11/11;-17,482517;0;-17,482517;0;0;-17,482517;0;-17,482517;0;0
08/11/11;52,582379;0;52,582379;0;0;52,582379;0;52,582379;0;0
09/11/11;197,797078;1;197,797078;1;0;197,797078;1;197,797078;1;0
