!!!! ATTENTION !!!! : La journée affiche par default une vente

strategie: MAX
dP= -112, tpa= 304, tpv=362

gain total;meilleur slA;meilleur slV
15686.91;210;10

date;type;gain;isSl;isTp
20/9/2007;V;-30.00;1;0
21/9/2007;V;73.99;0;1
22/9/2007;V;0.00;0;0
23/9/2007;V;0.00;0;0
24/9/2007;V;75.39;0;1
25/9/2007;V;-30.00;1;0
26/9/2007;V;4.25;0;0
27/9/2007;V;-30.00;1;0
28/9/2007;V;-30.00;1;0
29/9/2007;V;0.00;0;0
30/9/2007;V;0.00;0;0
31/9/2007;V;0.00;0;0
1/10/2007;V;52.61;0;0
2/10/2007;V;80.85;0;1
3/10/2007;V;-30.00;1;0
4/10/2007;V;-30.00;1;0
5/10/2007;V;102.84;0;1
6/10/2007;V;0.00;0;0
7/10/2007;V;0.00;0;0
8/10/2007;V;110.80;0;1
9/10/2007;V;-30.00;1;0
10/10/2007;V;-30.00;1;0
11/10/2007;V;-30.00;1;0
12/10/2007;V;-30.00;1;0
13/10/2007;V;0.00;0;0
14/10/2007;V;0.00;0;0
15/10/2007;V;-30.00;1;0
16/10/2007;V;114.10;0;1
17/10/2007;V;-30.00;1;0
18/10/2007;V;-30.00;1;0
19/10/2007;V;107.53;0;1
20/10/2007;V;0.00;0;0
21/10/2007;V;0.00;0;0
22/10/2007;V;112.34;0;1
23/10/2007;V;-30.00;1;0
24/10/2007;V;-30.00;1;0
25/10/2007;V;-30.00;1;0
26/10/2007;V;-30.00;1;0
27/10/2007;V;0.00;0;0
28/10/2007;V;0.00;0;0
29/10/2007;V;-30.00;1;0
30/10/2007;V;-30.00;1;0
31/10/2007;V;-30.00;1;0
1/11/2007;V;88.80;0;1
2/11/2007;V;-30.00;1;0
3/11/2007;V;0.00;0;0
4/11/2007;V;0.00;0;0
5/11/2007;V;85.05;0;1
6/11/2007;V;-30.00;1;0
7/11/2007;V;-30.00;1;0
8/11/2007;V;-30.00;1;0
9/11/2007;V;-30.00;1;0
10/11/2007;V;0.00;0;0
11/11/2007;V;0.00;0;0
12/11/2007;V;99.83;0;1
13/11/2007;V;55.38;0;0
14/11/2007;V;-30.00;1;0
15/11/2007;V;117.80;0;1
16/11/2007;V;120.65;0;1
17/11/2007;V;0.00;0;0
18/11/2007;V;0.00;0;0
19/11/2007;V;-30.00;1;0
20/11/2007;V;-30.00;1;0
21/11/2007;V;-30.00;1;0
22/11/2007;V;-12.13;0;0
23/11/2007;V;103.40;0;1
24/11/2007;V;0.00;0;0
25/11/2007;V;0.00;0;0
26/11/2007;V;-30.00;1;0
27/11/2007;V;-30.00;1;0
28/11/2007;V;105.04;0;1
29/11/2007;V;97.26;0;1
30/11/2007;V;-30.00;1;0
31/11/2007;V;0.00;0;0
1/12/2007;V;0.00;0;0
2/12/2007;V;0.00;0;0
3/12/2007;V;117.21;0;1
4/12/2007;V;-30.00;1;0
5/12/2007;V;124.30;0;1
6/12/2007;V;-30.00;1;0
7/12/2007;V;-30.00;1;0
8/12/2007;V;0.00;0;0
9/12/2007;V;0.00;0;0
10/12/2007;V;-30.00;1;0
11/12/2007;V;36.68;0;0
12/12/2007;V;-30.00;1;0
13/12/2007;V;133.16;0;1
14/12/2007;V;137.33;0;1
15/12/2007;V;0.00;0;0
16/12/2007;V;0.00;0;0
17/12/2007;V;165.29;0;1
18/12/2007;V;-30.00;1;0
19/12/2007;V;-30.00;1;0
20/12/2007;V;52.19;0;0
21/12/2007;V;68.77;0;0
22/12/2007;V;0.00;0;0
23/12/2007;V;0.00;0;0
24/12/2007;V;-30.00;1;0
25/12/2007;V;0.00;0;0
26/12/2007;V;-30.00;1;0
27/12/2007;V;-30.00;1;0
28/12/2007;V;-30.00;1;0
29/12/2007;V;0.00;0;0
30/12/2007;V;0.00;0;0
31/12/2007;V;104.00;0;1
1/1/2008;V;0.00;0;0
2/1/2008;V;-30.00;1;0
3/1/2008;V;-30.00;1;0
4/1/2008;V;-30.00;1;0
5/1/2008;V;0.00;0;0
6/1/2008;V;0.00;0;0
7/1/2008;V;-30.00;1;0
8/1/2008;V;-30.00;1;0
9/1/2008;V;146.26;0;1
10/1/2008;V;-30.00;1;0
11/1/2008;V;34.45;0;0
12/1/2008;V;0.00;0;0
13/1/2008;V;0.00;0;0
14/1/2008;V;-30.00;1;0
15/1/2008;V;-30.00;1;0
16/1/2008;V;99.96;0;1
17/1/2008;V;116.43;0;1
18/1/2008;V;-30.00;1;0
19/1/2008;V;0.00;0;0
20/1/2008;V;0.00;0;0
21/1/2008;V;141.12;0;1
22/1/2008;V;-30.00;1;0
23/1/2008;V;-30.00;1;0
24/1/2008;V;-30.00;1;0
25/1/2008;V;177.63;0;1
26/1/2008;V;0.00;0;0
27/1/2008;V;0.00;0;0
28/1/2008;V;-30.00;1;0
29/1/2008;V;-30.00;1;0
30/1/2008;V;-30.00;1;0
31/1/2008;V;-30.00;1;0
1/2/2008;V;-30.00;1;0
2/2/2008;V;0.00;0;0
3/2/2008;V;0.00;0;0
4/2/2008;V;10.11;0;0
