date;gain;minOuverture;minFermeture;isSl;isTp
10/3/8;83.84;0;0;0;0
11/3/8;-30.00;0;294;1;0
12/3/8;-30.00;0;348;1;0
13/3/8;-30.00;0;260;1;0
14/3/8;-30.00;0;576;1;0
17/3/8;-30.00;0;244;1;0
18/3/8;-30.00;0;276;1;0
19/3/8;-30.00;0;269;1;0
20/3/8;150.99;0;338;0;1
21/3/8;13.58;0;0;0;0
24/3/8;-30.00;0;353;1;0
25/3/8;-30.00;0;254;1;0
26/3/8;-30.00;0;300;1;0
27/3/8;-30.00;0;360;1;0
28/3/8;-30.00;0;358;1;0
31/3/8;-30.00;0;235;1;0
1/4/8;-30.00;0;183;1;0
2/4/8;-30.00;0;204;1;0
3/4/8;166.49;0;345;0;1
4/4/8;-30.00;0;202;1;0
7/4/8;-30.00;0;257;1;0
8/4/8;-30.00;0;209;1;0
9/4/8;-30.00;0;546;1;0
10/4/8;-30.00;0;198;1;0
11/4/8;-30.00;0;192;1;0
14/4/8;-30.00;0;234;1;0
15/4/8;-30.00;0;201;1;0
16/4/8;-30.00;0;219;1;0
17/4/8;-30.00;0;183;1;0
18/4/8;-30.00;0;230;1;0
21/4/8;-30.00;0;186;1;0
22/4/8;-30.00;0;185;1;0
23/4/8;-30.00;0;244;1;0
24/4/8;232.83;0;301;0;1
25/4/8;44.07;0;0;0;0
28/4/8;-30.00;0;335;1;0
29/4/8;1.92;0;0;0;0
30/4/8;55.78;0;0;0;0
1/5/8;147.76;0;218;0;1
2/5/8;-30.00;0;183;1;0
5/5/8;-30.00;0;267;1;0
6/5/8;-30.00;0;342;1;0
7/5/8;153.51;0;372;0;1
8/5/8;-30.00;0;453;1;0
9/5/8;-30.00;0;204;1;0
12/5/8;-30.00;0;211;1;0
13/5/8;38.64;0;0;0;0
14/5/8;-30.00;0;515;1;0
15/5/8;159.04;0;625;0;1
16/5/8;-30.00;0;229;1;0
19/5/8;-30.00;0;224;1;0
20/5/8;-30.00;0;184;1;0
21/5/8;-30.00;0;202;1;0
22/5/8;199.72;0;624;0;1
23/5/8;-30.00;0;255;1;0
26/5/8;-5.71;0;0;0;0
27/5/8;-30.00;0;284;1;0
28/5/8;-30.00;0;198;1;0
29/5/8;-30.00;0;213;1;0
30/5/8;-30.00;0;185;1;0
2/6/8;-30.00;0;284;1;0
3/6/8;-30.00;0;216;1;0
4/6/8;-30.00;0;265;1;0
5/6/8;141.85;0;513;0;1
6/6/8;-30.00;0;510;1;0
9/6/8;-30.00;0;201;1;0
10/6/8;211.85;0;685;0;1
11/6/8;-30.00;0;610;1;0
12/6/8;-30.00;0;247;1;0
13/6/8;190.86;0;400;0;1
16/6/8;-30.00;0;209;1;0
17/6/8;21.25;0;0;0;0
18/6/8;-30.00;0;188;1;0
19/6/8;118.27;0;271;0;1
20/6/8;-30.00;0;197;1;0
23/6/8;138.24;0;243;0;1
24/6/8;-30.00;0;189;1;0
25/6/8;-30.00;0;243;1;0
26/6/8;-30.00;0;219;1;0
27/6/8;-30.00;0;278;1;0
30/6/8;-30.00;0;198;1;0
1/7/8;-30.00;0;228;1;0
2/7/8;-30.00;0;521;1;0
3/7/8;-30.00;0;441;1;0
4/7/8;-30.00;0;226;1;0
7/7/8;-30.00;0;289;1;0
8/7/8;-30.00;0;210;1;0
9/7/8;-30.00;0;578;1;0
10/7/8;-30.00;0;614;1;0
11/7/8;-30.00;0;328;1;0
14/7/8;-30.00;0;229;1;0
15/7/8;-30.00;0;204;1;0
16/7/8;-30.00;0;195;1;0
17/7/8;-30.00;0;209;1;0
18/7/8;28.36;0;0;0;0
21/7/8;-30.00;0;235;1;0
22/7/8;-30.00;0;431;1;0
23/7/8;-30.00;0;220;1;0
24/7/8;-30.00;0;603;1;0
25/7/8;-30.00;0;196;1;0
28/7/8;-30.00;0;258;1;0
29/7/8;129.15;0;582;0;1
30/7/8;-30.00;0;208;1;0
31/7/8;-30.00;0;193;1;0
1/8/8;-30.00;0;486;1;0
4/8/8;-30.00;0;256;1;0
5/8/8;136.91;0;447;0;1
6/8/8;120.10;0;543;0;1
7/8/8;-30.00;0;511;1;0
8/8/8;-30.00;0;183;1;0
11/8/8;-30.00;0;210;1;0
12/8/8;-30.00;0;203;1;0
13/8/8;-30.00;0;186;1;0
14/8/8;-30.00;0;202;1;0
15/8/8;107.83;0;0;0;0
18/8/8;38.61;0;0;0;0
19/8/8;-30.00;0;230;1;0
20/8/8;-30.00;0;233;1;0
21/8/8;142.21;0;348;0;1
22/8/8;162.25;0;467;0;1
25/8/8;-30.00;0;335;1;0
26/8/8;-30.00;0;229;1;0
27/8/8;-30.00;0;204;1;0
28/8/8;-30.00;0;563;1;0
29/8/8;-30.00;0;186;1;0
1/9/8;-30.00;0;189;1;0
2/9/8;-30.00;0;189;1;0
3/9/8;-30.00;0;521;1;0
4/9/8;-30.00;0;189;1;0
5/9/8;187.20;0;367;0;1
8/9/8;-30.00;0;181;1;0
9/9/8;-30.00;0;300;1;0
10/9/8;-30.00;0;212;1;0
11/9/8;-30.00;0;511;1;0
12/9/8;-30.00;0;184;1;0
15/9/8;-30.00;0;200;1;0
16/9/8;-30.00;0;227;1;0
17/9/8;-30.00;0;191;1;0
18/9/8;-30.00;0;254;1;0
19/9/8;-30.00;0;182;1;0
22/9/8;-30.00;0;208;1;0
23/9/8;-30.00;0;346;1;0
24/9/8;-30.00;0;500;1;0
25/9/8;229.69;0;0;0;0
26/9/8;-30.00;0;482;1;0
29/9/8;-30.00;0;191;1;0
30/9/8;-30.00;0;182;1;0
1/10/8;-30.00;0;189;1;0
2/10/8;301.84;0;518;0;1
3/10/8;-30.00;0;242;1;0
6/10/8;-30.00;0;311;1;0
7/10/8;-30.00;0;202;1;0
8/10/8;-30.00;0;180;1;0
9/10/8;-30.00;0;208;1;0
10/10/8;-30.00;0;182;1;0
13/10/8;-30.00;0;542;1;0
14/10/8;-30.00;0;186;1;0
15/10/8;-30.00;0;368;1;0
16/10/8;-30.00;0;198;1;0
